,optimizer,epoch,test_loss,test_acc,test_precision
0,adam,20,0.674330472946167,0.7935000061988831,0.8675373196601868
1,adam,30,0.6753531098365784,0.7888000011444092,0.8676056265830994
2,adam,40,0.6673857569694519,0.7872999906539917,0.9639751315116882
3,adam,50,0.727103590965271,0.777899980545044,0.8899900913238525
4,adam,60,0.6563453078269958,0.7875999808311462,0.9758179187774658
5,sgd,20,,0.10000000149011612,0.0
6,sgd,30,,0.10000000149011612,0.0
7,sgd,40,,0.10000000149011612,0.0
8,sgd,50,,0.10000000149011612,0.0
9,sgd,60,,0.10000000149011612,0.0
10,adamax,20,0.7832367420196533,0.8105000257492065,0.930232584476471
11,adamax,30,0.7544875144958496,0.791700005531311,0.9304068684577942
12,adamax,40,0.8200368285179138,0.7944999933242798,0.9176954627037048
13,adamax,50,0.7362543940544128,0.7990999817848206,0.8876953125
14,adamax,60,0.7309587597846985,0.8101000189781189,0.9261954426765442
